title,type,rating,price,description,url,preparation_time,preparation_temperature,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
"Грузинская красная габа, май 2023, batch05-06",gaba,90.0,2860,"В сухом виде: тонкие, изогнутые жгутики темно-коричневых чайных листочков с длинными черенками. Аромат интенсивный, фруктово-цветочный с ноткой флердоранжа. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, многогранный, фруктово-цветочный, с нотками меда, бисквита, карамели и сладких апельсинов. Аромат высокий, теплый, цветочно-ягодный. Вкус плотный, мягкий и сладкий, маслянистый, с легкой цитрусовой кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15-20 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 8 завариваний. Прекрасный выбор для эмоциональной перезагрузки во второй половине дня – многогранный вкус, чарующий аромат, согревающее воздействие. В чае допустимо наличие до 10-15 % мелкой фракции листа.",https://moychay.ru/catalog/gruzinskij_chaj/gruzinskaya-krasnaya-gaba-may-2023-batch05-06,7,95,6,60,80,80,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Грузинская светлая габа ""грозовой улун"", июнь 2023",gaba,80.0,2870,"В сухом виде: очень крупные, изогнутые жгутики темно-коричневых и желто-зеленых чайных листочков с тонкими черенками. Аромат сдержанный, фруктово-цветочный. Настой прозрачный, оттенка белого винограда. Букет готового чая свежий, фруктово-пряный, с бисквитными, медовыми и цветочными нотками. Аромат нежный, фруктово-цветочный. Вкус чистый, плотный, шелковистый, сладкий, с нежной травянистой горчинкой, цитрусовой кислинкой, нюансами специй и долгим послевкусием. Заваривать горячей водой (85-92°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 8 завариваний. Воздействие освежающее, легкое тонизирующее. В чае допустимо наличие до 10-15 % мелкой фракции листа.",https://moychay.ru/catalog/gruzinskij_chaj/gruzinskaya-svetlaya-gaba-grozovoy-ulun-iyun-2023,10,90,6,,40,60,80,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Таиландский ГАБА Ассам красный чай, дикорастущие деревья. Moychay Tea Forest Project, batch04-2022 (limited 69 pieces), 357 г",gaba,100.0,16950,"357-граммовый блин, средней плотности, легко разбирается на бурые жгутики скрученных листьев с тонкими черенками и золотистые почки. Аромат интенсивный, фруктовый. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, фруктово-древесный с нотками ржаного хлеба, специй и цитрусов. Аромат сложный, фруктово-древесный. Вкус плотный, сочный и сладкий, шелковистый, с ягодной кислинкой, нюансами специй и долгим послевкусием. Заваривать горячей водой (95°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 20 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 10 завариваний.",https://moychay.ru/catalog/thailand-tea/tailandskiy-gaba-assam-krasnyy-chay-dikorastuschie-derevya-moychay-tea-forest-project-batch04-2022-limited-69-pieces-357-g,10,95,6,,,60,,100,,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Янтра Ассам Хун Габа, Таиланд (зима 2023)",gaba,92.0,1729,"В сухом виде: небольшие, темно-коричневые шарики скрученных чайных побегов. Аромат интенсивный, фруктовый с копченой ноткой. Настой прозрачный, красно-каштанового оттенка. Букет готового чая яркий, фруктово-древесный с цветочными, бисквитными и цитрусовыми нотками. Аромат теплый, фруктово-цветочный. Вкус плотный, сочный, сладковатый, чуть вяжущий, с легкой кислинкой и освежающим послевкусием. Заваривать горячей водой (92-95°С) в чайнике из пористой глины с толстыми стенками. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 20 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 9 завариваний.",https://moychay.ru/catalog/thailand-tea/yantra-assam-hun-gaba-tailand-zima-2023,7,95,6,40,,60,60,80,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Янтра Габа Улун, Таиланд (зима 2023)",gaba,96.0,1670,"В сухом виде: крупные, тяжелые, красно-коричневые шарики скрученных чайных побегов. Аромат интенсивный, фруктовый. Настой прозрачный, оттенка желтой охры. Букет готового чая яркий, многогранный, фруктово-ягодный с цветочными, древесными и цитрусовыми нотками. Аромат теплый, фруктово-цветочный. Вкус плотный, гладкий и сладкий, шелковистый, с сочной кислинкой и освежающим послевкусием. Заваривать горячей водой (92-95°С) в чайнике из пористой глины с толстыми стенками. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 20 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 10 завариваний.",https://moychay.ru/catalog/thailand-tea/yantra-gaba-ulun-tailand-zima-2023,5,92,7,,,60,80,100,,,,40,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Таиландский ГАБА Ассам красный чай, дикорастущие деревья. Moychay Tea Forest Project, batch03-2022 (limited 178 pieces), 357 г",gaba,88.0,15350,"В сухом виде: спрессованные крупные, изогнутые, бордово-коричневые жгутики скрученных листиков с тонкими черенками, серебристо-бежевые почки. Аромат интенсивный, медово-цветочный. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, медово-цветочный, с нотками игристых вин, осенних листьев, свежих ягод, мяты и специй. Аромат теплый, нежный, медово-цветочный. Вкус плотный, шелковистый, сладковатый, с ягодной кислинкой, нюансами специй и освежающим послевкусием Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 10 завариваний. Превосходный чай для искушенных любителей с многогранным вкусом и мощным медитативным воздействием.",https://moychay.ru/catalog/thailand-tea/tailandskiy-gaba-assam-krasnyy-chay-dikorastuschie-derevya-moychay-tea-forest-project-batch03-2022-limited-178-pieces-357-g,3,95,6,,80,,80,,,80,,,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Таиландский ГАБА Ассам красный чай, дикорастущие деревья. Moychay Tea Forest Project, batch02-2022 (limited 180 pieces), 357 г",gaba,96.0,15350,"В сухом виде: спрессованные крупные, изогнутые, бордово-коричневые жгутики скрученных листиков с тонкими черенками, бежевые и рыжие почки. Аромат интенсивный, фруктово-цветочный. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, фруктово-цветочный, с нотками осенних листьев, свежих ягод, лугового меда, игристых вин и пряных трав. Аромат теплый, нежный, фруктово-цветочный. Вкус плотный, шелковистый, сладковатый, с ягодной кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 10 завариваний. Превосходный чай для искушенных любителей с многогранным вкусом и мощным медитативным воздействием.",https://moychay.ru/catalog/thailand-tea/tailandskiy-gaba-assam-krasnyy-chay-dikorastuschie-derevya-moychay-tea-forest-project-batch02-2022-limited-180-pieces-357-g,3,95,6,,80,,80,,80,,,,,,100,60,,,,,,,,,,,,,,,,,,,,,,,,,
"Таиландский ГАБА Ассам красный чай, дикорастущие деревья. Moychay Tea Forest Project, batch01-2022 (limited 42 pieces), 357 г",gaba,92.0,15350,"В сухом виде: спрессованные крупные, изогнутые, бордово-коричневые жгутики скрученных листиков с тонкими черенками, бежевые и рыжие почки. Аромат интенсивный, фруктово-медовый. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, пряно-цветочный, с нотками осенних листьев, свежих ягод, игристых вин, сухофруктов и меда. Аромат теплый, нежный, пряно-цветочный. Вкус плотный, шелковистый, сладковатый, с ягодной кислинкой, нюансами специй и освежающим послевкусием Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 10 завариваний. Превосходный чай для искушенных любителей с многогранным вкусом и мощным медитативным воздействием.",https://moychay.ru/catalog/thailand-tea/tailandskiy-gaba-assam-krasnyy-chay-dikorastuschie-derevya-moychay-tea-forest-project-batch01-2022-limited-42-pieces-357-g,3,95,6,,80,,80,,80,,,,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,
"Габа Шу Ча (Габа шу пуэр, Мойчай.ру, 2020)",gaba,84.0,2760,"Экспериментальная партия шу пуэра, изготовленная в округе Дали (чайное хозяйство Юньлун, высота более 2500 метров) по специальному заказу компании Мойчай.ру при участии специалистов Куньминского университета из сырья весеннего урожая 2020 года. В сухом виде: темно-коричневые жгутики скрученных листиков и рыжих почек. Аромат сдержанный, сливочно-бисквитный. Настой слегка мутный, каштаново-желтого оттенка. Букет готового чая зрелый, многогранный, орехово-древесный с молочными, бисквитными и грибными нотками. Аромат спокойный, низкий, ореховый с грибной ноткой. Вкус плотный, гладкий, приятно вяжущий, с легкой горчинкой бобов какао. Приятное, мягкое послевкусие. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6-8 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Отличный шу пуэр – насыщенный, многогранный, одновременно мягкий и сочный. Утром поможет проснуться и гармонично влиться в поток нового дня, а вечером – выдохнуть все лишнее и со вкусом расслабиться.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/gaba-shu-cha-gaba-shu-puer-moychaycom-2020,1,95,7,40,,,,,,,,60,,,,,40,60,80,,,,,,,,,,,,,,,,,,,,,,
"Красный чай ферментированный с Я Бао, Вьетнам (весна 2023)",puer,0,3400,"В сухом виде: крупные, изогнутые жгутики темно-коричневых чайных листочков с длинными черенками. Аромат интенсивный, ягодный. Настой прозрачный, красно-каштанового оттенка. Букет готового чая яркий, древесно-ягодный, с нотками прелых листьев, сухофруктов и специй. Аромат глубокий и теплый, фруктово-ягодный. Вкус плотный, немного терпкий, пряный, сладковатый, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 7 завариваний. Отличный выбор для эмоциональной перезагрузки – бодрящий, многогранный и очень ароматный.",https://moychay.ru/catalog/vietnamese-tea/krasnyy-chay-fermentirovannyy-s-ya-bao-vietnam-vesna-2023,5,95,6,,,,,,,60,,80,100,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,
"Шэн Пуэр вьетнамский, тысячелетние деревья (апрель 2023)",puer,96.0,6960,"В сухом виде: крупные, изогнутые, бурые жгутики скрученных чайных листиков и почек с тонкими черенками. Аромат сдержанный, древесно-бальзамический с ягодной ноткой. Настой прозрачный, оттенка белого винограда. Букет готового чая свежий, многогранный, древесно-бальзамический с цветочными, ореховыми, пряными и ягодными нотками. Аромат интенсивный, сложный, пряно-цветочный. Вкус плотный, гладкий и сладкий, маслянистый, с ягодной кислинкой, нюансами специй и сочным, лимонно-мятным послевкусием. Заваривать горячей водой (90-92°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Превосходный молодой шэн – яркий, многогранный, мощный, медитативный.",https://moychay.ru/catalog/vietnamese-tea/shen-puer-vietnamskiy-tysyacheletnie-derevya-aprel-2023,5,92,6,,,,80,,80,,,80,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,
Шайцинь Юцзи Шэн (2022),puer,80.0,1760,"Высушенный на солнце шэн пуэр ""Органический"". В сухом виде: очень большие, бурые, скрученные листья с длинными, тонкими черенками, серебристо-бежевые почки. Аромат сдержанный, пряно-травянистый с тонкой грибной ноткой. Настой прозрачный, светлого виноградного оттенка. Букет готового чая свежий, пряно-травянистый, с нотками молодого лесного ореха, патиссона и зеленого яблока. Аромат нежный, травянистый. Вкус плотный, маслянистый, немного терпкий, с легкой кислинкой, нюансами специй и сочным послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 7-8 завариваний. Воздействие освежающее, тонизирующее, гармоничное.",https://moychay.ru/catalog/puer/shen_puer_rassypnoj/shaytsin-yutszi-shen-2022,5,85,6,,,,,40,80,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
